Review

"This is my second JBL GO Speaker. The first one i had purchased around 12 months back (Cricket Blue colour). JBL are known for their sound devices and they dont disappoint with this small but awesome product. Not too expensive, just about right size to carry in your pockets or can be used in car as a handsfree unit. Sound is too good, which a first timer will not expect looking at the size of the unit. this unit personifies ""big things come in small packages""..."
Its a vary good product. I was hesitating for its purchase because of its high prize. But after purchasing I apriciating this product. We can easily cary this product into pocket And it gives sound which is reachable to the audience of a big hall. I use it for my class teaching as a speaker. It runs at full volume for 2 hours after its fully charged. It automatically connected with priviously connected device. It is connected vary fast. Bluetooth connection is compatible with all devices. Sound quality is excellent. Thanks To JBL.
It's a surprise out of the box. Definitely nothing so compact can match this little box in terms of clarity and loudness. I have seen people talking about bias. My personal opinion why to expect bais with this little thing. It has acceptable bais anyways. Pros- - exceptional performance on Music where multiple instruments are playing. Nothing mixes up. - Battery 6 +hrs. - Vocals.
"I received this speaker yesterday. Very Quick delivery and good packaging. Pros: -At this price, the sound quality is superb. -Great Build quality with the rubberized body. -Very portable design. -Though it is understandably not so good at Bass, because of the limitations of size etc. But it is able to deliver decent enough Bass that is soothing to the ear. -The Bluetooth was very Quick to connect, and it didn't loose signal, even if I moved away or walked into another room. -Haven't tested the Mic yet. Cons: -The charging cable should have been a little longer. -Should have included the MicroSD and the USB Playback functionality."
"Undoubtedly amazing product. The sound quality matches that of the Bose. Build quality is very good. The quoting is soft rubber, feels good to hold in hand. Size =3 inch x 3 inch x 1.25 inch. For its size the sound quality and quantity is astonishing. Sounds as loud as half volume of a 4 speaker car stereo. Very crisp and clear sound. Very good battery life, lasts more than 2 hours. I'm very satisfied with the purchase."
"As portable as it gets with great sound. I wish the bass would be a little more, but it's already very strong, I don't want to nitpick here. :p If your laptop speaker is busted and if you have an AUX cable with jacks at both ends, you can use this as an external speaker. You can also connect your device to the GO, sit at a distance, plug your headphones into the go, and listen on your headphone while being away from your computer or laptop. Crazy!"
"Well this is a no brainer. The sound quality is good with clear high and low notes , loud enough to fill the room even when the AC is on and very easy connectivity. It gives great battery life(4-5 hours) and is very sturdy(it fell down a couple of times but as the outer coat is premium plastic(rubber feel) there is absolutely no damage. It's very versatile and user friendly. Thumbs up"
Got this little dynamite today (Red Colour)and it has exceeded beyond my expectations didnt expect such great sound from this little monster. U have got to give this credit after all its Jbl Sound clarity is awesome n bass depends on where u place it though very minimal.Its Size is really small. Under this price jbl has created a masterpiece. Got it for 1649(1rs extra given to delivery guy).dont compare with other portable speakers In this range its the best. So all d audiophiles out there get this without giving any extra thoughts Its simply d best n you wont regret it''
"Suprb product *** It has been completed 10 months with jbl go and I found no mistake at all , great sound with a perfect size and awsome look love my Jbl go. Don't think just buy it . Here few points which make use of jbl easy for you .... 1. It doesnt need to switch on bluetooth botton again after you have synchronised it once with your smartphone. 2. While charging do not listhin song it is GOOD for the battery . 3. It is best with the medium size room. 4. It has medium base . 5.The paint start removing after some months of use from corners so while placing it always look out for a plane n soft suface."
Ultimate sound..best for those who travel and love music. Worth buy as compare to other brands. You won't get this quality of sound in other bluetooth speaker. After using around 6 months. I am facing its automatic shutdown problem when played in full sound w/o VLC use connecting through mobile.
"Well it's all about knowing what's you want. Generally I'm not into head phones, and my laptop inbuilt speakers aren't really what I want them to be! The Jbl portable speaker allows me to play music in superior quality with highly filtered sounds. Trust that it's louder than its seems, base is good too. Suitable for a moderately big room. I choose quality. ??"
"The battery life is very good and so is the bluetooth distance. You get the speakers, USB cable and the manual in the box. Cloudtail is the best seller for this product. I bought the product for Rs.1843. Specs Battery charge time - 1.5 hours (600mAH) Speakers playback time - 4.5-5 hours Pros On time and and proper delivery Reliable product quality (battery life and sound clarity) Stylish product Call receive and reply when phone is connected (clarity is appreciable) Cons Small distortion at high volume Low power and audio output Short USB cable"
"Any one who are willing to take this jbl go portable speaker, just close ur eyes n take...i gifted dis to my grandpa... He stays in 3rd floor.. And believe it v can hear the sound even in the in the parking lot...vry good quality of sound in such a small device... I would recommend everyone who are planning to buy it ...u cn take it undoubtedly. One more info it doesn't work with a Bluetooth version below 3.0...fr dis u hv to buy an extra aux cable. It's vry awesome portable speaker... Go fr it...ul never regret."
"JBL, as the brand suggests, is quite a good product. Played it continuously for 5 hours, without charging. The sound quality is good too. A good buy in all. Edit 1 : After 1.5 years of usage, it is still going strong and playing too good."
"Less charging time,very good back up,killer look,very handy,very responsive,nice range and above all mind blowing sound...crystal clear. But be aware once when i visited jbl service centre at rajendra place new delhi,they didn't entertain online purchased product.just refused straightforwardly.whats that?"
Quite a favourite at our home. This little guy follows us around when we need some music. From the kitchen to the garden it's sound quality is very acceptable for its size and portability. A good purchase overall. Now let's see how long it lasts....
"Just one word.. Excellent.. Good sound quality for a portable speaker, handy and fits in your palms but sounds like a professional speaker while listening.. Very much value for the money spent. Attending calls through this speaker is also an awesome experiance. I will strongly recommend to GO for this JBL GO.."
"At this price point this is one of the most affordable portable speakers that you can buy. I wish they had given a hook/clip along with the product to clip it on to bags. There isn't a lot of bass, so if you want a meaty base sound, you should try one of JBLs larger models."
